Month,No. of Banks live on UPI,Volume (in Mn),Value (in Cr.)
Apr-23,414,"8,898.14","14,07,007.55"
Mar-23,399,"8,685.30","14,10,443.01"
Feb-23,390,"7,534.76","12,35,846.62"
Jan-23,385,"8,036.89","12,98,726.62"
Dec-22,382,"7,829.49","12,82,055.01"
Nov-22,376,"7,309.45","11,90,593.39"
Oct-22,365,"7,305.42","12,11,582.51"
Sep-22,358,"6,780.80","11,16,438.10"
Aug-22,346,"6,579.63","10,72,792.68"
Jul-22,338,"6,288.40","10,62,991"
Jun-22,330,"5,862.75","10,14,384"
May-22,323,"5,955.20","10,41,520"
Apr-22,316,"5,583.05","9,83,302.27"
Mar-22,314,"5,405.65","9,60,581.66"
Feb-22,304,"4,527.49","8,26,843.00"
Jan-22,297,"4,617.15","8,31,993.11"
Dec-21,282,"4,566.30","8,26,848.22"
Nov-21,274,"4,186.48","7,68,436.11"
Oct-21,261,"4,218.65","7,71,444.98"
Sep-21,259,"3,654.30","6,54,351.81"
Aug-21,249,"3,555.55","6,39,116.95"
Jul-21,235,"3,247.82","6,06,281.14"
Jun-21,229,"2,807.51","5,47,373.17"
May-21,224,"2,539.57","4,90,638.65"
Apr-21,220,"2,641.06","4,93,663.68"
Mar-21,216,"2,731.68","5,04,886.44"
Feb-21,213,"2,292.90","4,25,062.76"
Jan-21,207,2302.73,"4,31,181.89"
Dec-20,207,"2,234.16","4,16,176.21"
Nov-20,200,"2,210.23","3,90,999.15"
Oct-20,189,"2,071.62","3,86,106.74"
Sep-20,174,"1,800.14","3,29,027.66"
Aug-20,168,1618.83,"2,98,307.61"
Jul-20,164,1497.36,"2,90,537.86"
Jun-20,155,1336.93,"2,61,835.00"
May-20,155,"1,234.50","2,18,391.60"
Apr-20,153,999.57,"1,51,140.66"
Mar-20,148,"1,246.84","2,06,462.31"
Feb-20,146,"1,325.69","2,22,516.95"
Jan-20,144,"1,305.02","2,16,242.97"
Dec-19,143,"1,308.40","2,02,520.76"
Nov-19,143,"1,218.77","1,89,229.09"
Oct-19,141,"1,148.36","1,91,359.94"
Sep-19,141,955.02,"1,61,456.56"
Aug-19,141,918.35,"1,54,504.89"
Jul-19,143,822.29,"1,46,386.64"
Jun-19,142,754.54,"1,46,566.35"
May-19,143,733.54,"1,52,449.29"
Apr-19,144,781.79,"1,42,034.39"
Mar-19,142,799.54,"1,33,460.72"
Feb-19,139,674.19,"1,06,737.12"
Jan-19,134,672.75,"1,09,932.43"
Dec-18,129,620.17,"1,02,594.82"
Nov-18,128,524.94,"82,232.21"
Oct-18,128,482.36,"74,978.27"
Sep-18,122,405.87,"59,835.36"
Aug-18,114,312.02,"54,212.26"
Jul-18,114,273.75,"51,843.14"
Jun-18,110,246.37,"40,834.03"
May-18,101,189.48,"33,288.51"
Apr-18,97,190.08,"27,021.85"
Mar-18,91,178.05,"24,172.60"
Feb-18,86,171.4,"19,126.20"
Jan-18,71,151.83,"15,571.20"
Dec-17,67,145.64,"13,174.24"
Nov-17,61,105.02,"9,669.33"
Oct-17,60,76.96,7057.78
Sep-17,57,30.98,"5,325.81"
Aug-17,55,16.8,"4,156.62"
Jul-17,53,11.63,"3,411.35"
Jun-17,52,10.35 ,"3,098.36"
May-17,49,9.36,"2,797.07"
Apr-17,48,7.2,"2,271.24"
Mar-17,44,6.37,"2,425.14"
Feb-17,44,4.38,"1,937.71"
Jan-17,36,4.46,"1,696.22"
Dec-16,35,1.99,707.93
Nov-16,30,0.29,100.46
Oct-16,26,0.1,48.57
Sep-16,25,0.09,32.64
Aug-16,21,0.09,3.09
Jul-16,21,0.09,0.38
Jun-16,21,0,0
May-16,21,0,0
Apr-16,21,0,0
